Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Base,0.655776415641992,0.371290277477391,-0.348427709891903,0,0,0,752.821481116442,73.802942907828,-5.77266619862716,0.0836249337623942,40.1584646881209,0.465633223789609,89.8646886076037,0,0,0,0,0,0,package://davinci_final/meshes/Base.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://davinci_final/meshes/Base.STL,,DaVinci Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
CamL1,0.0474692001406715,-0.199385225285128,-0.00834217911424562,0,0,0,20.0258937920878,0.282688719136425,0.00510627369677305,0.000298023161907489,0.121528957018449,-0.00686647691342479,0.359998883067959,0,0,0,0,0,0,package://davinci_final/meshes/CamL1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://davinci_final/meshes/CamL1.STL,,DaVinci ArmCamera-2,Origin_CamJ1,,CamJ1,continuous,1.1675,-0.2702,1.0583,1.8577,-0.12794,2.7468,Base,0,0,0,,,,,,,,,,,,
CamL2,-0.190133273839928,-0.227540797098728,-0.0465637799889496,0,0,0,24.6272896652191,1.03614668918094,-0.158703022730723,-1.58766468499882E-07,0.141636861775166,-3.89665757535851E-07,1.11526573521401,0,0,0,0,0,0,package://davinci_final/meshes/CamL2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://davinci_final/meshes/CamL2.STL,,Arm2Camera-2,Origin_CamJ2,Axis_CamJ2,CamJ2,revolute,0,-0.15979,0,1.5708,-1.0689,-1.5708,CamL1,0,0,1,0,0,-0.77,0.77,,,,,,,,
CamL3,0.0716225444215841,0.108810320559619,0.0465639013434742,0,0,0,1.6680411969325,0.0338409212016977,-0.00586957794347592,-5.12441360699112E-09,0.00378033681733235,-4.75449797479426E-08,0.0372276236828401,0,0,0,0,0,0,package://davinci_final/meshes/CamL3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://davinci_final/meshes/CamL3.STL,,NeedleTool-2,Origin_CamJ3,Axis_CamJ3,CamJ3,revolute,-0.2185,-0.59707,0,-3.1416,0,-2.5706,CamL2,0,0,1,0,0,-0.77,-0.77,,,,,,,,
CamL4,-4.44089209850063E-16,0.2612253832557,1.66533453693773E-15,0,0,0,0.186348243480434,0.0112553481535252,2.51084388367816E-17,-3.25260651745651E-19,2.40448865527698E-06,-6.87957843654228E-17,0.0112553481535252,0,0,0,0,0,0,package://davinci_final/meshes/CamL4.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://davinci_final/meshes/CamL4.STL,,Camera-1,Origin_CamJ4,Axis_CamJ4,CamJ4,prismatic,0.13416,0,0.046564,0,0.49778,0,CamL3,0,1,0,0,0,0,0,,,,,,,,
Lens,4.10782519111308E-15,-0.00310410505178815,-1.04360964314765E-14,0,0,0,0.000193183311892924,1.40001010513605E-09,-8.15083903888007E-24,-1.7771458472819E-26,2.60085231956011E-09,-2.80465926443761E-24,1.40001010513605E-09,0,0,0,0,0,0,package://davinci_final/meshes/Lens.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://davinci_final/meshes/Lens.STL,,CamLens-1,Origin_CamLens,Axis_CamLens,CamLens,fixed,0,-0.16254,0,0,1.4538,0,CamL4,0,1,0,,,,,,,,,,,,
GripL1,0.048910201681391,-0.194431762818423,-0.00814202159208355,0,0,0,20.51822099096,0.295731484010267,0.00173664509470263,5.73796512559725E-05,0.123814789210747,-0.00769399081512017,0.374505986537081,0,0,0,0,0,0,package://davinci_final/meshes/GripL1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://davinci_final/meshes/GripL1.STL,,DaVinci Arm-1,Origin_GripJ1,,GripJ1,continuous,0.63571,-0.50691,1.3515,2.0171,-0.11609,-2.9083,Base,0,0,0,,,,,,,,,,,,
GripL2,-0.16090054793039,-0.148754937052251,-0.0465640119677332,0,0,0,17.6001911378671,0.406795948112077,-0.087214765381765,1.00832532802519E-07,0.0994938591810753,2.24146153678627E-07,0.461655818314422,0,0,0,0,0,0,package://davinci_final/meshes/GripL2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://davinci_final/meshes/GripL2.STL,,Arm2-1,Origin_GripJ2,Axis_GripJ2,GripJ2,revolute,0,-0.12945,0,-1.5708,-1.3625,1.5708,GripL1,0,0,1,0,0,-0.77,0.77,,,,,,,,
GripL3,0.0716227364547322,0.108810491075718,0.0465638161492091,0,0,0,1.66804162014251,0.0338410007756111,-0.0058696014951319,2.00590784303969E-09,0.00378035322035429,-1.88494361792312E-08,0.037227721413998,0,0,0,0,0,0,package://davinci_final/meshes/GripL3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://davinci_final/meshes/GripL3.STL,,NeedleTool-1,Origin_GripJ3,Axis_GripJ3,GripJ3,revolute,-0.1943,-0.42281,0,3.1416,0,3.0389,GripL2,0,0,1,0,0,-0.77,0.77,,,,,,,,
GripL4,-9.28429899627048E-08,0.0874927043684337,0.000173317510804516,0,0,0,0.197864622086744,0.0129770770685318,-3.57960670167699E-09,-1.73726324992352E-10,4.2305706383531E-06,7.12455755199808E-06,0.012978538778816,0,0,0,0,0,0,package://davinci_final/meshes/GripL4.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://davinci_final/meshes/GripL4.STL,,Needle-1,Origin_GripJ4,Axis_GripJ4,GripJ4,prismatic,0.13416,0,0.046564,-3.1416,0.72256,-3.1416,GripL3,0,1,0,0,0,0,0,,,,,,,,
Gripper1,0,-0.0169435917441886,0.00900000000000012,0,0,0,0.00228574536802514,4.41988903309557E-07,7.30400480884323E-22,-9.26442286059391E-23,2.66773822288624E-08,2.15315113447553E-21,4.6714245529307E-07,0,0,0,0,0,0,package://davinci_final/meshes/Gripper1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://davinci_final/meshes/Gripper1.STL,,Gripper-2,Origin_GripperJ1,Axis_GripperJ1,GripperJ1,revolute,0.015,-0.31338,0,0,0,-0.17792,GripL4,0,0,1,0,0,-0.45,0,,,,,,,,
Gripper2,1.55431223447522E-15,-0.0169435917441881,0.0150183163907054,0,0,0,0.00228574536802514,4.41988903309556E-07,-1.6421603110709E-21,9.26442286059391E-23,2.66773822288622E-08,-8.19942782193189E-22,4.67142455293068E-07,0,0,0,0,0,0,package://davinci_final/meshes/Gripper2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://davinci_final/meshes/Gripper2.STL,,Gripper-1,Origin_GripperJ2,Axis_GripperJ2,GripperJ2,fixed,-0.015,-0.31338,-0.0060183,0,0,0.35499,GripL4,0,0,1,,,,,,,,,,,,
